Appearance,Aroma,Description,Flavor,Flowering Time,Grow,Grow Medium,Lineage,Name,Origin,Qualities,Story,Strain Type
NaN,Perfumed grape incense-like smell.,"An exceedingly short, squat plant that seems to turn purple at any time of the year.  Fat leaves and small stature with the dark coloration characteristic of the true Afghani/Pakistani landrace varieties.","Nearly identical to the smell, it's a perfumed grape-heavy smell that brings to mind incense and flowers.",65 days,Clone-only,"Purple Indica is a tiny, squat plant that will need additional vegetative growth time to get weight.  It also requires a lot of pruning close to the stem to prevent bud rot.",Believed to be a pure landrace Pakistani/Afghani variety,Purple Indica,Afghanistan/Pakistan,"Relaxing and semi-narcotic like most Purple strains, it's clear that this one is 100% Indica.  Good for pain relief, relaxation, anti-anxiety, and sleep aid.","Not much is known about this particular plant except that it likely came out of Afghanistan/Pakistan during the 80's when the country was in upheaval, and was likely brought to the USA by American military personnel.  It is thought by many to be the mother plant to the modern Purple lines such as Grape Ape, Granddaddy Purple, Purple Urkle, etc. This cut is also thought to be the same cut as the Pacific Northwest's ""Ultraviolet"".",Indica
NaN,"Pungent, with notes of ""purple"" (incense, perfume, musky grapes), and the spicy Kush end of the spectrum as well.  The SR-71 and Garberville cuts are more ""purple"" in both flavor and smell compared to the Kyle Kushman/Las Vegas Purple Kush.","The SR-71 cut is thought to be a very similar to Purple Urkle (possibly a hybrid) and has more of the typical ""purple""/hashy grape flavor — it was passed most commonly by the SR-71 (now Blue Sky) Coffeeshop in the ""Oaksterdam"" section of Oakland, CA and may be Purple Afghani x Hindu Kush.  The Garberville Purple Kush is most notably held by Swerve of Cali Connection Seeds fame and tends to grow with some foxtails and has more of a straight-up Kush taste/smell with hints of the ""purple"".  Kyle Kushman's Las Vegas Purple Kush was claimed in a New Yorker article to be a special Purple Indica x Northern Lights find, but many have since claimed it's an S1 Bubba Kush of some kind due to the dark flavors present.  And finally, many old-school people claim that none of the famous clone-only PK's around are in fact the original Purple Kush, which is said to be a very special Purple Pakistani variety that was found in the late 70's or early 80's.  As you can see, the history of a strain that's been renamed several times and has several legit versions floating around gets very murky quickly.","Much like the smell, the flavor is a dark fruity musk with a bit of sweetness at times — a great blend of the typical purple flavor and traditional Afghani/Pakistani Kush varieties.","Depends on the cut, but it's generally between 55 days at the absolute earliest and 70 days for the late-maturing cuts.","Clone-only, the most famous and sought-after version is Kyle Kushman's Las Vegas Purple Kush, but there are also the ""Garberville Purple Kush""  and the ""SR71 Purple Kush"", all of which are different but have kept the Purple Kush name.",Grows well in soil or hydro — they all have fairly strong yield considering the possible Urkle lineage and traditionally slow vegetative growth of purple strains.  Cooler temperatures at night and a longer flowering time will help to bring out the purple coloration to a higher degree.,Purple Afghani x Hindu Kush (one version — see description for more info),Purple Kush,"Afghanistan/Pakistan mountains, bred and popularized in California, USA","Eminently relaxing and rather potent, Purple Kush is definitely in touch with its Afghani-Pakistani roots.  Coming on with a slight rush of energy, that subsides quickly and leaves the user with a floaty, highly medicated body experience that makes aches and pains as well as anxiety/stress melt away.  Purple Kush is also known for being a long-laster, normally going out to the 3 hour mark.  Recommended highly for body pain, muscle relaxation, mood elevation, appetite stimulation, and sleep aid at higher dosages.","See above.  The SR-71 cut was originally named ""Ultraviolet"" by its original grower in Oakland, CA (credited as ""K"" from Trichome Technologies according to SR71's catalog).",Indica-dominant hybrid
NaN,"Smells like most Maui, with that standard soft pine scent",A purple-tinted Sativa from Hawaii,"Piney and hashy, not particularly flavorful, like most Maui",NaN,Clone only,NaN,"Unknown lineage, may be just a purple-tinted Maui",Purple Maui,Hawaii,"Very Sativa in nature, a little rushy at times and more aggressive than a normal Maui, which is generally very mild.  While the potency is solid, it doesn't provide much, if any, body relief.  Good for mood elevation, energy, and general motivation.",NaN,Sativa-dominant hybrid
NaN,Skunky and sweet dark fruit fragrance with notes of nag champa incense,"A California medical scene cut that is dated back to the late 1980's, the Urkle (also called Purple Urple, and Purple Urkel) is thought to have come from the Mendo Purps line.  It's a slow-vegging plant that almost always turns a deep shade of purple by the time it's finished. It's the purple plant of choice for many, as it's known for being more potent and flavorful than many of the others.","Grapey, sweet, and musky — Urkle is the gold standard Purple taste for many people",8 weeks,Clone only,"Grows bush-style, grows very slowly in vegetative state and doesn't quite double in height when in flower.",Thought to be a phenotype of Mendocino Purps,Purple Urkle,"California, USA","Very relaxing and mood elevating, it's generally not as narcotic and drowsy as many Purple strains.  In smaller dosages, it can be a very functional strain, but at higher dosages, it can indeed get extremely relaxing to the point where sleep can result.  Great medicinal value for general relaxation, anti-anxiety, appetite stimulation, sleep aid, and pain relief.","Purple Urkle is thought to be an inbred line dating back to at least 1989, possibly quite a bit earlier.  Its origins are thought to be that of a pure Indica, likely coming from Afghanistan or Pakistan.  It made its way into the NorCal medical clubs in the mid-90's and has been going strong ever since, being crossed into a wide variety of strains due to its unmistakable coloration, smell, and overall stability.",Indica-dominant hybrid
NaN,"Sweet and incense-heavy, it also has hashy/earthy elements that come out to varying degrees.","A slow vegging plant due to the Urkle influence, it often finishes a deep shade of purple, but many plants finish as a very dark green.  At times a good yielder, there is a lot of variation in phenotypes, so it required diligent selection to find a real winner.","Spicy, sweet, and pungent in its ideal form, at times it's simply earthy with a hint of incense.",65-70 days,California Bean Bank,NaN,Double Purple Doja x Urkle x Purple Cheese,Purple Voodoo,"California, USA","Not like a normal Purple strain in that the Sativa influence takes the edge off of the normally narcotic qualities of the Purple family.  To start, it actually feels rather Sativa in nature, starting strongly with a package of head pressure fluctuations and a slightly excited, floaty body.  The second half gets more sedate and relaxing on a base level, trending towards couchlock and even aiding sleep at higher dosages and depending on context.  Appetite stimulation was a big part of this strain, and it otherwise provided a solid hybrid relaxation, both mentally and physically.",NaN,Hybrid
"Spearhead clover green calyxes in tight clusters, with maroon pistils, and an above average density of long, thin stalked trichomes with small heads",Sweet dark florals and grape candy over an earthy musk,"This ""purple"" was better than many in that it didn't leave us feeling totally groggy and sleepy, but rather had a fairly clear-headed feeling for the majority of the effects. Some of the typical Purple taste combined with a strong Afghani influence made this an average medicine in terms of taste and smell, but the duration and effects mostly made up for it. We would recommend this strain for an indoors nighttime activity or work, as we were functional but not exactly full of energy — it would put you in an appropriate mental state for sleeping as well by the end of the effects if consumed in the evening.","Musky dark fruits, currant, bitter grape",55-65 Days,Clone,NaN,Double Purple Doja x (Purple Urkle x Purple Diesel),Purple VooDoo 1,California,"Dull and immediately medicated eyes were the first effect felt, followed shortly after by a somatic feeling throughout the body that made us want to just sit down and melt into the seat. Surprisingly with the strong Indica-feeling attack, it was a fairly functional and clear effect, which we all appreciated (especially since the staff tends to not enjoy the often groggy-feeling Purple strains). The body high was extremely evident from the beginning and stayed fairly constant, but the lingering eyes feeling and a slight burst of energy returning to a sober state were the epilogue of this strain's effects. Nicely potent and medicating, yet mentally clearer than most Purple strains, this is a good option for those who don't tend to enjoy Purples that much.","Bred by California Bean Bank to produce stout, heavy, ""purple""-flavored indica flowers",Indica Dominant Hybrid
NaN,NaN,NaN,NaN,8 Weeks,Clone Only,NaN,Unknown; thought to be a Bubba Kush S1,Puss Kush,Mountainous Middle East and Asia; California,NaN,"Puss Kush is often called Pussy Kush or PK, though PK should be used to refer to Pure Kush only.  While Puss Kush greatly resembles the Katsu Bubba Kush (one variety some people refer to as Pre-98), it does have a nose of its own. There are some stories claiming that Puss Kush is is a cross between Bubba and Catpiss, while at least one well respected breeder suggests it is simply a really nice Bubba S1.  While Puss isn't the hype strain of the true PK (Pure Kush) which is truly Suge's Pure Kush and not the oft copied versions floating around (SoCal Pure Kush, et al), it is a wonderful expression of Kush genes.",Indica
NaN,"Sweet and fruity, with an incense-like backdrop","A colorful and smooth-smoking combination of Kyle Kushman's two most popular strains, the Quail was nearly extinct until a group of Colorado growers opted to revive her despite the weak yield.","Smooth and creamy, it has a sweet flavor that matches the smell",NaN,Clone only,NaN,Kyle Kushman's Strawberry Cough x Purple Kush,Quail,USA,"Relaxing but clear-headed, it's a good anytime strain that eases tensions without inhibiting mental function.  It helped with appetite and the comedown was particularly relaxing, making it a good prelude to sleep.","A low-yielding plant, it was about to disappear forever when some enterprising growers in Colorado endeavored to save the strain as a ""headstash"" variety.",Indica-dominant hybrid
NaN,"Much like the Urkle mom, it smells of musky yet sweet grape and dark fruits — the Space Queen-leaning pheno can have notes of the C-99 sharpness as well.","Querkle has two main phenotypes: one pheno is shorter and more purple, while the other trends toward the Space Queen and lacks the coloration and also has more of a Sativa effect.  It's a moderate to heavy yielder, especially if it gets a long veg time and lots of root space.","Moderately sweet but with a lovely sharp quality, the flavor is much like the smell, consisting of candy grapes and musky, almost Kush-like flavors.",About 8 weeks,TGA/Subcool Seeds,Subcool recommends vegging it to a large bush or growing it untopped via the SCROG method for best yield.,Purple Urkle x Space Queen (Romulan x Cinderella 99),Querkle,"California, USA","Depends on the phenotype — the Space Queen-dominant one generally offers a slightly more heady Sativa experience.  Normally though, you can expect a relatively sedating experience with major mood elevation, body relaxation, and sleep aid at higher doses.","Romulan and C-99 are both legendary strains despite existing on near-opposite sides of the cannabis spectrum.  Striving to create a grape-tasting plant with a quicker flowering time than the original Urkle mom, TGA/Subcool opted to cross it with their Space Queen, a potent hybrid of C-99 and Romulan.  This shortened flowering time and helped stabilize the plant, creating a variety with only two standard phenotypes and mostly retaining the taste/aroma of the mother.",Indica-dominant hybrid
NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Special in-house phenotype of Afghan-Haze, leaning towards the citrus Haze side",R2,NaN,NaN,NaN,Sativa-dominant hybrid
NaN,"Fruity and sweet, with a hashy background","When an LA Confidential plant produces seed stock unexpectedly, the DNA crew grew them out and isolated a freak phenotype, then crossed it with a particularly Indica-leaning Cannadential.  The resulting plant is a strong Indica with very frosty and dense buds.","Sweet and fruity, with an expansive, rich smoke",8-9 weeks,DNA Genetics,"Heavy yielder, produces dense colas and works well for SOG applications.",Freak S1 LA Confidential (O.G. LA Affie x Afghani) x Cannadential,ReCON,"California, USA","Hitting behind the eyes and in the forehead to start, it quickly transitions into a strongly Indica experience, with a warm body and relaxed muscles.  Mood elevating but slightly narcotic, the LA Confidential is great for minor pain, relaxation, reducing anxiety, and increasing appetite.",NaN,Indica-dominant hybrid
NaN,Piney and hashy,"Romulan is thought to be an Afghani-dominant strain, known for its peppery aroma and strong, narcotic effect.  UBC Chemo was supposedly developed by the Canadian government for cancer patients undergoing chemotherapy treatments.  The combination of the two strains produces a very potent hybrid with great medicinal value.","Much like the smell, it's a musky blend of pine and more earthy elements","8-9 weeks, letting it go longer increases potency",Federation Seeds,"Romulan x Chemo is a short, branchy plant with woody stems that takes on a bonsai-like appearance.  Not suitable for SOG applications, it grows best as a bush and produces a medium yield of round, golfball-like nugs.",Romulan x Chemo,Romulan x Chemo,California and British Columbia,"Highly sedative and narcotic, this strain is very potent, with both strong mental and physical effects.  The mental effects are mostly present early on, bringing on an internal energy and a cloudy mindstate.  Once that passes, it turns into a near-complete couchlock experience, with a very warm body, loose muscles, and heavy, red eyes.  This strain is very medicinal for patients who need a sleep aid, muscle relaxant, appetite stimulant, and minor pain relief.","Romulan came to British Columbia by way of Romulan Joe, a biker from California who was a key member of the ""Trinity"" grow scene in the 1970's.  He passed the clone on to Federation Seeds, who grew it out on Vancouver Island, eventually crossing it with White Rhino and back-crossing those plants to the original clone over many generations to produce seed stock.  Chemo was thought to be developed by the Canadian government as an aid for cancer patients undergoing chemotherapy.",Indica-dominant hybrid
"The plant itself tends to grow with pointed colas which bulk up considerably by finish, with some getting into the ""soda can"" realm.  The long pistils and large calyxes  make this one fairly easy to trim and also makes for a smooth, easy smoke thanks to the lack of leaves.  Lime green with creamy orange pistils, the trichomes tend to be shorter with large, bulbous heads and medium-thick coverage overall.","A spicy Haze scent with notes of sandalwood, bay leaves, garlic, and a light Dutch Haze type of sweetness at times, which comes through heavily in certain phenotypes.","S.A.G.E. stands for ""Sativa-Afghani Genetic Equilibrium"", indicating that the mission for this plant was to provide the best of both worlds.  Many believe that's the case, as this plants has been extremely popular, with some elite selections being grown, cloned, and passed around for 10+ years now.  While it is certainly a hybrid, S.A.G.E. is clearly Sativa-dominant, with some phenotypes going out to 80 days flowering.  Its Haze-heavy mother shines through in the effect and the appearance.","Though the quicker-finishing Afghan-heavy phenotypes are at times sweet, the flavor of the most prized cuts is similar to its namesake, with a bouquet of spice-like flavors with a fresh nature — this one tastes like a true Sativa, reedy and clean on the palate with an expansive but smooth smoke.",70-80 days,T.H.Seeds,"Responds well to training, more than doubles its height in flowering.  Produces well and will continue throwing out white pistils if fed any type of nitrogen in flowering — this is acceptable though, as the extra bulk overall is worth the additional time.",Big Sur Holy x Afghani,S.A.G.E.,"California, USA, then to Amsterdam, The Netherlands","A true hybrid, it starts out strongly Sativa, with an increase in eye/face pressure, an uptick in heart rate, and racing, at-times disjointed thoughts.  While not incapacitating mentally, it does slow things down simply because the mind is being pulled in many different directions, following flights of fancy and craving interaction.  Good for creative pursuits but not as much for settled, detail-oriented work, this one is most conducive to spending a day having fun outside or an evening being productive at home.  The body effects also tend to start off rather early, warming the limbs and core and relaxing the muscles so that they feel loose and floppy.  This is a great daytime strain, giving a boost of energy and also relieving body tension and mental stress, a mostly-functional strain perfect for those who stop just short of the raciest, most cerebral varietals.","A very special Hazy Sativa plant grown at a monastery in the Big Sur area of California (later known as ""Big Sur Holy Weed"") is the mother to this line.  Adam Dunn used his workhorse Afghani male to balance out the rangy Holy Weed and provide better structure as well as a more palatable flowering time.  S.A.G.E. is considered as T.H.Seeds' flagship strain and is one of Dunn's favorites to this day, being entered as recently as 2012 into the High Times Denver Medical Cannabis Cup's Sativa category.  A couple of special S.A.G.E. cuts are out in the clone scene currently, with the ""FoCo S.A.G.E."" (out of Ft. Collins, Colorado) perhaps being the most sought-after for its incredible Sativa effect and punchy, spice-heavy aroma.",Sativa-dominant hybrid
NaN,"The Sour Diesel dominates (as it does in many crosses) and combined with the S.A.G.E. to produce a pungent fuel-pine aroma with a hint of citrus.  It seems to get fresher and cleaner when ground up, losing some of the fuel stank.","The East Coast Sour Diesel clone meets S.A.G.E., T.H.Seeds' workhorse Sativa-Afghani hybrid in what turns out to be a foxtailed and potent big-producing Sativa.","Diesel-dominant, with a smoky element and a backing vegetal sweetness.","60-65 days, some phenos will go longer",NaN,"According to T.H.Seeds, it grows massive in DWC setups, so root space it at a premium with these plants.  They get tall and will easily double in height when flowering, finishing with foxtailed, fat-calyxed colas of formidable size.",Sour Diesel x S.A.G.E .,S.A.G.E. 'n Sour,"Amsterdam, The Netherlands","A strong starter, it hits the face and eyes with lots of cycling pressure, building up over the first 15 minutes.  Spacey and lacking focus, it gives a certain energy that can still manage to be semi-productive.  As the spaciness wears off, it becomes suitable for sedentary tasks, elevating energy and mood.  A smooth drop back to sobriety completes this pleasant Sativa strain's effects.  Most suitable for daytime use, it has strong ocular effects, solid appetite stimulation, gives a boost of energy, and some slight numbing pain relief.",NaN,Sativa-dominant hybrid
"As it's growing, the plants have a deep green and purple coloration that stays intact through harvest and drying/curing.  Most plants have large hooked calyxes that ""crown"" as the plant reaches maturity, with very fat trichome heads which make fabulous water hash.  It has a moderate amount of leaf coverage, but the main colas are thick and have a better calyx-to-leaf ratio than the lower branches.","The ECSD comes through most clearly in the scent, which has strong notes of rubber, fuel, skunks.  However, there is a creamy, hashy Deep Chunk sweetness that manages to make its way to the forefront now and then.  The astringent aromas dominate post-grind and this is a strain that is easily-noticed from several feet away when disturbed.","A wonderful example of hybrid vigor, this strain brings together two strains on nearly opposite ends of the spectrum in the 70+ day flowering Sativa-dominant Sour Diesel and the burly, hashy, trich-covered Indica Deep Chunk.  The flavor and scent expression of the parents changes slightly depending upon medium, phenotype, and growing conditions.  It normally finishes a deep purple color, with both leaves and calyxes darkening as it approaches harvest time.","When properly-grown, a deep flavor which nearly matches the pungency of the aroma lingers on the palate after smoking.  The flavor is slightly hashier than the aroma, but still has clear skunk, rubber, and fuel elements, especially on the attack.  The smoke tends to be fairly thick and can cause coughing, but if well-trimmed and cured, it can be very smooth for such a potent smoke.",55-60 days,"Clone-only, though the two popular phenotypes were selected from seed stock originally","While it performs just fine in hydro, these plants tend to really respond to a robust soil or soilless mix, something that will keep them deep green and healthy until it's time to flush.  It forms fairly strong central colas but also has a good amount of leaf, making pruning and a judicious trim necessary.  It handles training well and works for SCROG much better than it does in a single cola SOG style setup — medium sized plants (around 3') tend to taste and smell best.",East Coast Sour Diesel x Tom Hill's Deep Chunk,S.D.D.C.,"Texas, USA","A buzzing throughout the face and head comes on with an immediacy that definitely brings to mind the Diesel side of the family.  It also tends to hit the eyes quite a bit, at times making them burn with effect and continually fluctuating pressure.  The early part of the duration feels rather Sativa in nature (though on the ""stoney"" and narcotic side of that spectrum) and improves mood while also providing such strong initial potency that it would be difficult to fall asleep.  However, that changes rather quickly (normally around the 1 hour mark) and the Deep Chunk seems to take hold, filling the body with a buzzing relaxation and bringing the mental pace down quite a few notches.  This strain is most suitable for an evening burst of cerebral activity leading into relaxation and eventually sleep.  It's also useful as an all-day medication for users who can continually consume smaller amounts and remain in the Sativa parts of the effect.","Bred by Tierra Rojo, this strain has made a home in the Colorado medical marijuana scene, but a special phenotype also still appears in its home state of Texas as the ""Texas Hog Plum"".",Indica-dominant hybrid
NaN,NaN,NaN,NaN,NaN,NaN,NaN,Girl Scout Cookies x Stardawg,Scooby Snacks #10,NaN,NaN,NaN,Hybrid
NaN,Pungent with rubber band or tennis ball undertones.Pungent with rubber band or tennis ball undertones.,"The Rare Dankness #1 male brings Ghost OG (the real cut), Chem and Triangle Kush to the playing field.  As Scott himself posted on a forum, ""The RD#1 male brings a shit ton of resin [and] Chem growth with a nice splash of the OG flavor and smell everyone wants[.]""The backcross to Triangle Kush brings in even more of the OG family line and traits, making this an extremely potent OG variant, pushing past the Ghost and reaching Face Off levels.","Lemon kush, pinene.",55-65 days,"Seeds available.  Clone-Only phenotype of ""Michigan Cup Winner"" floating around the scene.",NaN,Triangle Kush x Rare Dankness #1,Scott's OG,Colorado,"Typical OG Kush, hybird indica body with a stong potency on this cross.","Scott's OG is a varietal avaiable in seed form from Rare Dankness Seeds.  We've heard of a few people finding some very nice phenos in their packs, but possibly the cut regarded as the best is the pheno found by some Michigan growers.  After having won 1st Place in the Growers Cup in 2012 or 2013, Scott was invited to meet the purveyors of the fine flowers.  He was gifted a cut of the winning pheno and made it available commercially to some Colorado retail centers.  The photos in this profile were taken at Green Dream Health Services in Boulder, Colorado and is the verified Michigan Cup winner phenotype.",Hybrid
NaN,"Sometimes it can be sweet and lemony, with notes of eucalyptus — the other tends to be more musky and has a bit of a skunky lemon bite and notes of fuel.","Sensi Star is a stout plant with large, dark fan leaves — definitely Indica in profile, it produces dense buds that sparkle with trichomes and give off a sharp lemony musk.  Known for high levels of THC, it's popular for crossing with other strains that lack potency.","Musky lemon, at times with a putrid sweetness",56 - 63 days,"Paradise Seeds created the original, but it's also sold by Black Label and White Label Seeds","Grows vigorously in soil, hydro, or outdoors in temperate climates.  Vegetative growth of about 14 days from clone is recommended, and it works well in Sea of Green (SOG) setups.",Unknown,Sensi Star,"Unknown, created in Amsterdam, Netherlands by Paradise Seeds","It does depend on the pheno (there is a more Sativa-leaning pheno), but Sensi Star is known for strong body effects with a touch of head effects to complete the package.  A warm, buzzing, relaxed body combined with a fairly clear mental state make Sensi Star a semi-functional Indica, especially at lighter doses.  Strong eye effects, good muscle tension relief, appetite stimulation, anti-anxiety properties, and sleep aid at higher doses.","Created in 1995 by Paradise seeds, it was re-released in 1997 in a more stabilized form, generally producing one of two phenotypes.  It went on to win many awards and become very well-known around the world.",Indica-dominant Hybrid
NaN,Lemon-pine cleaner — it lacks the fuel and skunk elements which are often present in other OG Kush cuts.,"One of the most prized OG Kush varieties today, the SFV cut is known for its Lemon Pledge funk and its meditative Sativa effects package.","Lemons and spice, it tastes much like the Ghost cut with a little more straight-up lemon flavor.",70-75 days,Clone-only,NaN,"Unknown lineage, thought to be a ""selfed"" Ghost's OG Kush",SFV OG Kush,"San Fernando Valley, California","Contemplative and fairly somber, the SFV cut is one that puts the user in a meditative, calm state.  There is a strong and constant pulsing feeling in the body which increases the relaxed feeling.  Only occasional spaciness mars the otherwise clear-headed and aware experience.  Recommended for users who desire a mood-evening strain that will reduce the daily stresses of life while also relaxing the body.","Information courtesy of Moonshine: ""The SFV is 'San Fernando Valley' which most folks know.  What they don't know is the SFV is actually an S1 (a self seeded) of the ORkid's Ghost OG Kush.  It is very similar to the ORKid cut with a little healthier/sturdier branches.  The medicinal effects and highs are very close in nature, with the SFV generally being a little more somber and meditative.  Lastly, SFV is widely rumored to be the XXX OG Kush because the SFV is where the porn industry is/was generally located.  In reality, the XXX is likely another S1, this time of the SFV.""",Sativa-dominant hybrid
"Dutch Passion claims that approximately half of the Shaman plants in any seed pack will be green rather than purple, but we've never seen one that finishes green.  The buds are a deep purple, almost looking black at times, though the foliage does mostly stay green to finish.  The small buds appear tucked into the green leaves, but once pruned, the large calyxes and deep orange pistils make this a very attractive strain.  We've seen the same ""cut"" of Shaman several times, and it has continually produced purple-headed trichomes (see pictures above, in both dry buds and live plant form), which is an extremely rare trait.","Though it possesses a light ""purple"" scent, with notes of incense and a backing Skunky quality, Shaman has a tangy and fresh aroma once broken apart.  Hints of citrus, pine, and the smooth floral purple aroma from the pre-grind smell blend into a surprisingly appealing whole.","One of Dutch Passion's early crosses primarily meant for outdoor growing in the northern latitudes of The Netherlands, Shaman is known for most of its specimens turning a deep purple.  The plant isn't a big yielder, and it also isn't the most potent variety, but its pleasant uplifting Sativa effect and complex floral-pine-incense aroma make it a great daytime choice for beginner and intermediate users.","Much like the smell, it's not the most pungent thing around, but it is complex enough to keep a veteran user's interest.  A light skunky and floral flavor brings to mind the Skunk more than the Purple side of the family, and the light citrus elements come through as well in the aftertaste.  Beyond the first hit or two, it's mostly an earthy experience, but the smoke is smooth and light when properly grown and flushed.",8-9 weeks,Dutch Passion offers both male/female and feminized seeds,"Shaman is never really a big-yielding variety, but it does seem to prefer being grown in hydro when being cultivated indoors, bulking up a bit more than when grown in soil mixes.  However, the flavor and aroma seem to take on a more pleasing sweetness in soil, so it's mostly a question of what the grower is striving for.",Purple #1 x Early Skunk,Shaman,"Amsterdam, The Netherlands","The Sativa billing from the seed company is not a false one — this strain is very uplifting yet smooth and calming (no signs of anxiety), making it a perfect moderately potent daytime choice when an incapacitating mental effect is not desired.  Social, energetic, and near-euphoric at times, Shaman lasts at a medicinal level for about 1.5 hours, then fades out quickly at about 2.5, leaving behind no side effects.","During the 1980's ""Skunk Boom"" in Amsterdam, one of the crosses that came out of the frenzy of Skunk #1-based breeding projects was a strain first called ""Purple Skunk"".  In 1997, the variety was renamed to ""Shaman"" by Dutch Passion.  The strain was originally bred to finish outdoors  in the short Dutch growing season, and manages to do that despite its Sativa phenotypical selection.",Sativa-dominant hybrid
"Dense but vevet like, Show Dawg breaks down easier than OG Kush or Chem D due to it's heavy Stardawg leaning traits (i.e more, but less voluminous calyxes).","Sour, pine and chemical.",Chem D x TK Stardawg,"Tart and pungent. Skunky and a thick, heavy smoke.",NaN,NaN,Soilless mix,Chem D x TK Stardawg,Showdawg,"Green Dream Cannabis, Boulder, CO","Profoundly potent in the terpene pinene, it is demonstrated as a pain reliever and muscle relaxant. Be prepared for apatite stimulation as well with its high THC content.","A genetic breeding project by Green Dream Cannabis in Boulder, CO. This strain delivers the appearance of Stardawg while portraying the effect and aroma of an OG Kush varietal.",Sativa Dominant Hybrid
NaN,Acrid pine-citrus Haze,"This cross takes on more of the Haze than the heavily-Indica Herojuana, feeling very spacey and cerebral.",Slightly piney,NaN,Clone-only,NaN,Super Silver Haze x Herijuana/Herojuana (Petrolia Headstash x Outdoor Kentucky Strain) - see also: http://www.kindreviews.com/09/super-silver-haze-x-herojuana/,Silver Coin,USA,"Like a wet blanket over the brain, this strain is very Hazy and cerebral, also hitting the eyes very strongly and making them low and red.  It is a strain that the user is very conscious of, at times inducing anxiety in professional situations.  It's spacey and generally slows the mind, which is great for relaxation, but not for any detail-oriented activities.  Very little body presence with this one despite its relaxing 2nd half of the duration.","This cross is of unknown origin, but Herojuana was originally bred by Motarebel.",Sativa-dominant hybrid
"Claw-shaped asparagus green sepals, arranged in tight closed cluster calyxes, with bursts of burnt umbre pistils, and average coverage with thick-stalked wavy trichomes with large heads","We were almost taken aback at how nice this sample smelled, both in the jar/bag and once it was broken up or ground. It reminded us of some of the better Jack Herer/Jack Flash samples we've had, except with more of the candy sweetness you find in something like Island Sweet Skunk or Cotton CandyRomulan. Sweet, fruity, and floral, it has elements of rose petals, grape candy, and fresh citrus cleaner — these aromas seem to blend and appear at different times, making for a complex and enjoyable experience. While not outwardly pungent like something in the Diesel/Kush family, it was a strong and bold aroma nonetheless.","Though it won a Cannabis Cup way back in 1994, we didn't expect a whole lot from this strain, simply because it's very old-school and contains strains that make our collective shoulders shrug. However, this strain showed us that old Dutch seedbank material has its good points, as it provided a great Sativa-hybrid experience and a huge dose of fresh, sweet, fruity notes in both the flavor and the aroma. This particular grow was mostly without flaw, and we especially liked seeing the array of cloudy trichomes, which seems increasingly rare (we often see a bunch of clear heads with patches of ambers mixed in rather than a true progression). While its strong start and at times racy effect may get on top of some inexperienced patients, it was moderately potent overall and would be suitable for daytime relief for mid-to-experienced patients. This is a strong first KindReview for Green Mountain CARE, and we look forward to seeing more choices from their garden.","While it's worth noting that one reviewer didn't seem to care much for the flavor and noted some harshness when burning, the rest of the staff had no such complaints. We got a very fresh, lightly sweet and fruity flavor that seemed to match the pre-grind smell for the most part. It had notes of eucalyptus, citrus, and flowers on the initial hits but burned away into more of a lightly spicy (yet still sweet) flavor that brought to mind cinnamon. The smoke was extremely smooth for the majority of the staff (one using a glass pipe, one using an IncrediBowl) and coughing was minimal. The final ash finished with some dark areas, indicating that a longer or more thorough flush would have been beneficial… that didn't affect the flavor much in our estimation, however.",NaN,Seed,NaN,Early Pearl x Skunk #1 x Northern Lights #5,Silver Pearl,Netherlands,"The effects of this strain were noticed almost immediately after exhaling, with the usual package of Sativa pressure effects rising up into our heads. A fluttery, light feeling in the torso area and an major uptick in both mood and mental activity also added to the Sativa start we experienced. It bordered on anxious at times, but its background body relaxation seemed to help keep us calm and in a positive, borderline euphoric mood. While it was difficult to concentrate on one thing, it seemed to aid with overall mental activity, making some of the staff feel like multi-tasking machines, jumping capably from task to task but never lingering. The fairly excitable state declined in potency after about an hour, then shifted gears at about 1.5 hours to a more relaxing state that lost the at-times anxious edge. The effect's endurance was also somewhat surprising, lasting at a medicinal level for 2 solid hours, then declining quickly from there but lingering in the eyes for a full 3 hours.",Bred by Sensi Seeds to create an easy-to-grow stress-resistant varietal for indoor cultivation,Indica-dominant hybrid
